soc_code,onet_soc_code,occupation_title,software_or_tool,software_category,hot_technology,in_demand,rank
47-2031,47-2031.00,Carpenters,Estimating software,Project management software,N,N,9
47-2031,47-2031.00,Carpenters,Job costing software,Accounting software,N,N,10
47-2031,47-2031.00,Carpenters,Quicken,Accounting software,N,N,11
47-2031,47-2031.00,Carpenters,Renaissance MasterCarpenter,Information retrieval or search software,N,N,12
47-2031,47-2031.00,Carpenters,Turtle Creek Software Goldenseal,Project management software,N,N,13
47-2031,47-2031.00,Carpenters,VirtualBoss,Project management software,N,N,14
47-2031,47-2031.00,Carpenters,Web browser software,Internet browser software,N,N,15
47-2031,47-2031.00,Carpenters,Wilhelm Publishing Threshold,Word processing software,N,N,16
47-2041,47-2041.00,Carpet Installers,Autodesk AutoCAD,Computer aided design CAD software,Y,N,1
47-2041,47-2041.00,Carpet Installers,Microsoft Excel,Spreadsheet software,Y,N,2
47-2041,47-2041.00,Carpet Installers,Microsoft Office software,Office suite software,Y,N,3
47-2041,47-2041.00,Carpet Installers,Microsoft Word,Word processing software,Y,N,4
47-2041,47-2041.00,Carpet Installers,Aya Associates Comp-U-Floor,Data base user interface and query software,N,N,5
47-2041,47-2041.00,Carpet Installers,Carpet Dealer Management System CDMS,Data base user interface and query software,N,N,6
47-2041,47-2041.00,Carpet Installers,FIRST Flooring,Project management software,N,N,7
47-2041,47-2041.00,Carpet Installers,FloorCOST Estimator for Excel,Project management software,N,N,8
47-2041,47-2041.00,Carpet Installers,Flooring Technologies QFloors,Data base user interface and query software,N,N,9
47-2041,47-2041.00,Carpet Installers,Focus Floor Covering Software,Data base user interface and query software,N,N,10
47-2041,47-2041.00,Carpet Installers,Measure Square FloorEstimate Pro,Project management software,N,N,11
47-2041,47-2041.00,Carpet Installers,Pacific Solutions FloorRight,Project management software,N,N,12
47-2041,47-2041.00,Carpet Installers,RFMS Schedule Pro,Calendar and scheduling software,N,N,13
47-2041,47-2041.00,Carpet Installers,Textile Management Systems RollMaster,Data base user interface and query software,N,N,14
47-2041,47-2041.00,Carpet Installers,eTakeoff,Project management software,N,N,15
47-2042,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Facebook,Web page creation and editing software,Y,N,1
47-2042,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Microsoft Office software,Office suite software,Y,N,2
47-2042,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Aya Associates Comp-U-Floor,Data base user interface and query software,N,N,3
47-2042,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",CPR Software FloorCOST Estimator for Excel,Project management software,N,N,4
47-2042,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Flooring Technologies QFloors,Data base user interface and query software,N,N,5
47-2042,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Focus Floor Covering Software,Data base user interface and query software,N,N,6
47-2042,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Measure Square FloorEstimate Pro,Project management software,N,N,7
47-2042,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",On Center On-Screen Takeoff,Project management software,N,N,8
47-2042,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Pacific Solutions FloorRight,Project management software,N,N,9
47-2042,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Project visualization software,Computer aided design CAD software,N,N,10
47-2042,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Radio frequency identification RFID software,Inventory management software,N,N,11
47-2042,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Textile Management Systems RollMaster,Data base user interface and query software,N,N,12
