soc_code,onet_soc_code,occupation_title,education_level,respondent_share_percent,source_date,rank
43-5051,43-5051.00,Postal Service Clerks,Less than high school diploma,7.76,07/2016,3
43-5051,43-5051.00,Postal Service Clerks,Post-secondary certificate,6.8,07/2016,4
43-5051,43-5051.00,Postal Service Clerks,Associate's degree,0.0,07/2016,5
43-5051,43-5051.00,Postal Service Clerks,Bachelor's degree,0.0,07/2016,6
43-5052,43-5052.00,Postal Service Mail Carriers,High school diploma or equivalent,78.21,07/2016,1
43-5052,43-5052.00,Postal Service Mail Carriers,Less than high school diploma,14.57,07/2016,2
43-5052,43-5052.00,Postal Service Mail Carriers,"Some college, no degree",7.22,07/2016,3
43-5052,43-5052.00,Postal Service Mail Carriers,Post-secondary certificate,0.0,07/2016,4
43-5052,43-5052.00,Postal Service Mail Carriers,Associate's degree,0.0,07/2016,5
43-5052,43-5052.00,Postal Service Mail Carriers,Bachelor's degree,0.0,07/2016,6
43-5053,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",High school diploma or equivalent,81.39,07/2016,1
43-5053,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",Less than high school diploma,12.48,07/2016,2
43-5053,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators","Some college, no degree",6.14,07/2016,3
43-5053,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",Post-secondary certificate,0.0,07/2016,4
43-5053,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",Associate's degree,0.0,07/2016,5
43-5053,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",Bachelor's degree,0.0,07/2016,6
43-5061,43-5061.00,"Production, Planning, and Expediting Clerks",High school diploma or equivalent,36.75,08/2022,1
43-5061,43-5061.00,"Production, Planning, and Expediting Clerks","Some college, no degree",21.17,08/2022,2
43-5061,43-5061.00,"Production, Planning, and Expediting Clerks",Less than high school diploma,19.48,08/2022,3
43-5061,43-5061.00,"Production, Planning, and Expediting Clerks",Associate's degree,13.21,08/2022,4
43-5061,43-5061.00,"Production, Planning, and Expediting Clerks",Post-secondary certificate,9.4,08/2022,5
43-5061,43-5061.00,"Production, Planning, and Expediting Clerks",Bachelor's degree,0.0,08/2022,6
43-5071,43-5071.00,"Shipping, Receiving, and Inventory Clerks",High school diploma or equivalent,74.91,08/2019,1
43-5071,43-5071.00,"Shipping, Receiving, and Inventory Clerks",Associate's degree,11.94,08/2019,2
43-5071,43-5071.00,"Shipping, Receiving, and Inventory Clerks",Bachelor's degree,10.76,08/2019,3
43-5071,43-5071.00,"Shipping, Receiving, and Inventory Clerks","Some college, no degree",1.88,08/2019,4
43-5071,43-5071.00,"Shipping, Receiving, and Inventory Clerks",Post-secondary certificate,0.52,08/2019,5
43-5071,43-5071.00,"Shipping, Receiving, and Inventory Clerks",Less than high school diploma,0.0,08/2019,6
43-5111,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",High school diploma or equivalent,49.95,08/2018,1
43-5111,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Less than high school diploma,21.5,08/2018,2
43-5111,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","Some college, no degree",19.49,08/2018,3
43-5111,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Associate's degree,4.99,08/2018,4
43-5111,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Post-secondary certificate,3.56,08/2018,5
43-5111,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Bachelor's degree,0.51,08/2018,6
43-6011,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Associate's degree,33.77,07/2017,1
43-6011,43-6011.00,Executive Secretaries and Executive Administrative Assistants,High school diploma or equivalent,24.2,07/2017,2
43-6011,43-6011.00,Executive Secretaries and Executive Administrative Assistants,"Some college, no degree",20.91,07/2017,3
43-6011,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Bachelor's degree,11.87,07/2017,4
43-6011,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Post-master's certificate,3.38,07/2017,5
43-6011,43-6011.00,Executive Secretaries and Executive Administrative Assistants,First professional degree,2.88,07/2017,6
43-6012,43-6012.00,Legal Secretaries and Administrative Assistants,Associate's degree,48.14,08/2024,1
43-6012,43-6012.00,Legal Secretaries and Administrative Assistants,High school diploma or equivalent,17.31,08/2024,2
43-6012,43-6012.00,Legal Secretaries and Administrative Assistants,Post-secondary certificate,14.32,08/2024,3
43-6012,43-6012.00,Legal Secretaries and Administrative Assistants,"Some college, no degree",13.23,08/2024,4
43-6012,43-6012.00,Legal Secretaries and Administrative Assistants,Bachelor's degree,7.0,08/2024,5
43-6012,43-6012.00,Legal Secretaries and Administrative Assistants,Less than high school diploma,0.0,08/2024,6
43-6013,43-6013.00,Medical Secretaries and Administrative Assistants,High school diploma or equivalent,47.63,08/2021,1
43-6013,43-6013.00,Medical Secretaries and Administrative Assistants,Associate's degree,25.97,08/2021,2
43-6013,43-6013.00,Medical Secretaries and Administrative Assistants,Post-secondary certificate,19.88,08/2021,3
43-6013,43-6013.00,Medical Secretaries and Administrative Assistants,Less than high school diploma,5.33,08/2021,4
43-6013,43-6013.00,Medical Secretaries and Administrative Assistants,"Some college, no degree",1.18,08/2021,5
43-6013,43-6013.00,Medical Secretaries and Administrative Assistants,Bachelor's degree,0.0,08/2021,6
43-6014,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",High school diploma or equivalent,49.9,08/2019,1
43-6014,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Associate's degree,22.37,08/2019,2
43-6014,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Bachelor's degree,10.98,08/2019,3
43-6014,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","Some college, no degree",10.23,08/2019,4
43-6014,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Post-secondary certificate,6.51,08/2019,5
43-6014,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Less than high school diploma,0.0,08/2019,6
43-9021,43-9021.00,Data Entry Keyers,Associate's degree,11.14,08/2018,1
43-9021,43-9021.00,Data Entry Keyers,Less than high school diploma,0.0,08/2018,2
43-9021,43-9021.00,Data Entry Keyers,Post-secondary certificate,0.0,08/2018,3
43-9021,43-9021.00,Data Entry Keyers,Bachelor's degree,0.0,08/2018,4
43-9021,43-9021.00,Data Entry Keyers,Post-baccalaureate certificate,0.0,08/2018,5
43-9021,43-9021.00,Data Entry Keyers,Master's degree,0.0,08/2018,6
43-9022,43-9022.00,Word Processors and Typists,High school diploma or equivalent,49.61,07/2017,1
43-9022,43-9022.00,Word Processors and Typists,"Some college, no degree",45.45,07/2017,2
43-9022,43-9022.00,Word Processors and Typists,Associate's degree,2.98,07/2017,3
43-9022,43-9022.00,Word Processors and Typists,Less than high school diploma,1.96,07/2017,4
43-9022,43-9022.00,Word Processors and Typists,Post-secondary certificate,0.0,07/2017,5
43-9022,43-9022.00,Word Processors and Typists,Bachelor's degree,0.0,07/2017,6
43-9031,43-9031.00,Desktop Publishers,Bachelor's degree,38.7,08/2021,1
43-9031,43-9031.00,Desktop Publishers,Associate's degree,11.14,08/2021,2
43-9031,43-9031.00,Desktop Publishers,Post-secondary certificate,4.86,08/2021,3
43-9031,43-9031.00,Desktop Publishers,"Some college, no degree",1.0,08/2021,4
43-9031,43-9031.00,Desktop Publishers,Less than high school diploma,0.0,08/2021,5
43-9031,43-9031.00,Desktop Publishers,Post-baccalaureate certificate,0.0,08/2021,6
43-9041,43-9041.00,Insurance Claims and Policy Processing Clerks,High school diploma or equivalent,54.85,08/2022,1
43-9041,43-9041.00,Insurance Claims and Policy Processing Clerks,Associate's degree,21.13,08/2022,2
43-9041,43-9041.00,Insurance Claims and Policy Processing Clerks,"Some college, no degree",9.33,08/2022,3
43-9041,43-9041.00,Insurance Claims and Policy Processing Clerks,Post-secondary certificate,7.64,08/2022,4
43-9041,43-9041.00,Insurance Claims and Policy Processing Clerks,Bachelor's degree,6.58,08/2022,5
43-9041,43-9041.00,Insurance Claims and Policy Processing Clerks,Less than high school diploma,0.46,08/2022,6
43-9051,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",Associate's degree,6.17,07/2016,1
43-9051,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",Post-secondary certificate,0.0,07/2016,2
43-9051,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service","Some college, no degree",0.0,07/2016,3
43-9051,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",Bachelor's degree,0.0,07/2016,4
43-9051,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",Post-baccalaureate certificate,0.0,07/2016,5
43-9051,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",Master's degree,0.0,07/2016,6
43-9061,43-9061.00,"Office Clerks, General",High school diploma or equivalent,40.59,08/2018,1
43-9061,43-9061.00,"Office Clerks, General",Associate's degree,36.41,08/2018,2
43-9061,43-9061.00,"Office Clerks, General","Some college, no degree",14.74,08/2018,3
43-9061,43-9061.00,"Office Clerks, General",Post-secondary certificate,6.52,08/2018,4
43-9061,43-9061.00,"Office Clerks, General",Less than high school diploma,1.5,08/2018,5
43-9061,43-9061.00,"Office Clerks, General",Bachelor's degree,0.24,08/2018,6
43-9071,43-9071.00,"Office Machine Operators, Except Computer",High school diploma or equivalent,67.73,07/2017,1
43-9071,43-9071.00,"Office Machine Operators, Except Computer",Bachelor's degree,17.43,07/2017,2
43-9071,43-9071.00,"Office Machine Operators, Except Computer",Post-secondary certificate,9.03,07/2017,3
43-9071,43-9071.00,"Office Machine Operators, Except Computer",Associate's degree,5.81,07/2017,4
43-9071,43-9071.00,"Office Machine Operators, Except Computer",Less than high school diploma,0.0,07/2017,5
43-9071,43-9071.00,"Office Machine Operators, Except Computer","Some college, no degree",0.0,07/2017,6
43-9081,43-9081.00,Proofreaders and Copy Markers,Bachelor's degree,47.3,07/2016,1
43-9081,43-9081.00,Proofreaders and Copy Markers,Associate's degree,23.2,07/2016,2
43-9081,43-9081.00,Proofreaders and Copy Markers,"Some college, no degree",12.04,07/2016,3
43-9081,43-9081.00,Proofreaders and Copy Markers,Post-secondary certificate,6.24,07/2016,4
43-9081,43-9081.00,Proofreaders and Copy Markers,Less than high school diploma,0.0,07/2016,5
43-9081,43-9081.00,Proofreaders and Copy Markers,Post-baccalaureate certificate,0.0,07/2016,6
43-9111,43-9111.00,Statistical Assistants,Bachelor's degree,59.21,07/2015,1
43-9111,43-9111.00,Statistical Assistants,"Some college, no degree",11.93,07/2015,2
43-9111,43-9111.00,Statistical Assistants,Master's degree,11.3,07/2015,3
43-9111,43-9111.00,Statistical Assistants,First professional degree,7.38,07/2015,4
43-9111,43-9111.00,Statistical Assistants,High school diploma or equivalent,6.03,07/2015,5
43-9111,43-9111.00,Statistical Assistants,Post-baccalaureate certificate,2.07,07/2015,6
45-1011,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",Bachelor's degree,32.89,08/2022,1
45-1011,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",High school diploma or equivalent,31.52,08/2022,2
45-1011,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",Post-secondary certificate,13.7,08/2022,3
45-1011,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",Less than high school diploma,9.72,08/2022,4
45-1011,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers","Some college, no degree",6.1,08/2022,5
45-1011,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",Associate's degree,4.06,08/2022,6
45-2011,45-2011.00,Agricultural Inspectors,High school diploma or equivalent,56.17,07/2013,1
45-2011,45-2011.00,Agricultural Inspectors,"Some college, no degree",12.48,07/2013,2
45-2011,45-2011.00,Agricultural Inspectors,Associate's degree,12.23,07/2013,3
45-2011,45-2011.00,Agricultural Inspectors,Bachelor's degree,10.33,07/2013,4
45-2011,45-2011.00,Agricultural Inspectors,Less than high school diploma,7.0,07/2013,5
45-2011,45-2011.00,Agricultural Inspectors,First professional degree,1.79,07/2013,6
45-2021,45-2021.00,Animal Breeders,High school diploma or equivalent,85.74,08/2018,1
45-2021,45-2021.00,Animal Breeders,Post-secondary certificate,5.74,08/2018,2
45-2021,45-2021.00,Animal Breeders,"Some college, no degree",4.46,08/2018,3
45-2021,45-2021.00,Animal Breeders,Bachelor's degree,3.43,08/2018,4
45-2021,45-2021.00,Animal Breeders,Post-baccalaureate certificate,0.63,08/2018,5
45-2021,45-2021.00,Animal Breeders,Less than high school diploma,0.0,08/2018,6
45-2041,45-2041.00,"Graders and Sorters, Agricultural Products",Less than high school diploma,63.8,07/2017,1
45-2041,45-2041.00,"Graders and Sorters, Agricultural Products",High school diploma or equivalent,26.69,07/2017,2
45-2041,45-2041.00,"Graders and Sorters, Agricultural Products",Associate's degree,4.86,07/2017,3
45-2041,45-2041.00,"Graders and Sorters, Agricultural Products",Post-secondary certificate,4.65,07/2017,4
45-2041,45-2041.00,"Graders and Sorters, Agricultural Products","Some college, no degree",0.0,07/2017,5
45-2041,45-2041.00,"Graders and Sorters, Agricultural Products",Bachelor's degree,0.0,07/2017,6
45-2091,45-2091.00,Agricultural Equipment Operators,Less than high school diploma,56.78,08/2019,1
45-2091,45-2091.00,Agricultural Equipment Operators,High school diploma or equivalent,19.13,08/2019,2
45-2091,45-2091.00,Agricultural Equipment Operators,Post-secondary certificate,14.41,08/2019,3
45-2091,45-2091.00,Agricultural Equipment Operators,"Some college, no degree",9.53,08/2019,4
45-2091,45-2091.00,Agricultural Equipment Operators,Associate's degree,0.14,08/2019,5
45-2091,45-2091.00,Agricultural Equipment Operators,Bachelor's degree,0.0,08/2019,6
45-2092,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Less than high school diploma,38.96,08/2022,1
45-2092,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",High school diploma or equivalent,28.54,08/2022,2
45-2092,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Bachelor's degree,15.33,08/2022,3
45-2092,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Some college, no degree",5.32,08/2022,4
45-2092,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Master's degree,5.12,08/2022,5
45-2092,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",First professional degree,2.95,08/2022,6
45-2093,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals","Some college, no degree",39.39,08/2019,1
45-2093,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",High school diploma or equivalent,24.97,08/2019,2
45-2093,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Less than high school diploma,18.0,08/2019,3
45-2093,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Associate's degree,8.94,08/2019,4
45-2093,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Post-secondary certificate,8.47,08/2019,5
45-2093,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Bachelor's degree,0.23,08/2019,6
45-4011,45-4011.00,Forest and Conservation Workers,High school diploma or equivalent,43.63,08/2023,1
45-4011,45-4011.00,Forest and Conservation Workers,Bachelor's degree,22.55,08/2023,2
45-4011,45-4011.00,Forest and Conservation Workers,Master's degree,20.25,08/2023,3
45-4011,45-4011.00,Forest and Conservation Workers,"Some college, no degree",6.5,08/2023,4
45-4011,45-4011.00,Forest and Conservation Workers,Less than high school diploma,3.43,08/2023,5
45-4011,45-4011.00,Forest and Conservation Workers,Post-secondary certificate,1.87,08/2023,6
45-4021,45-4021.00,Fallers,Less than high school diploma,55.82,06/2007,1
45-4021,45-4021.00,Fallers,High school diploma or equivalent,44.18,06/2007,2
45-4021,45-4021.00,Fallers,Post-secondary certificate,0.0,06/2007,3
45-4021,45-4021.00,Fallers,"Some college, no degree",0.0,06/2007,4
45-4021,45-4021.00,Fallers,Associate's degree,0.0,06/2007,5
45-4021,45-4021.00,Fallers,Bachelor's degree,0.0,06/2007,6
45-4022,45-4022.00,Logging Equipment Operators,Less than high school diploma,55.42,07/2017,1
45-4022,45-4022.00,Logging Equipment Operators,High school diploma or equivalent,43.69,07/2017,2
45-4022,45-4022.00,Logging Equipment Operators,Post-secondary certificate,0.89,07/2017,3
45-4022,45-4022.00,Logging Equipment Operators,"Some college, no degree",0.0,07/2017,4
45-4022,45-4022.00,Logging Equipment Operators,Associate's degree,0.0,07/2017,5
45-4022,45-4022.00,Logging Equipment Operators,Bachelor's degree,0.0,07/2017,6
45-4023,45-4023.00,Log Graders and Scalers,High school diploma or equivalent,64.23,07/2017,1
45-4023,45-4023.00,Log Graders and Scalers,"Some college, no degree",11.64,07/2017,2
45-4023,45-4023.00,Log Graders and Scalers,Less than high school diploma,11.18,07/2017,3
45-4023,45-4023.00,Log Graders and Scalers,Post-secondary certificate,10.99,07/2017,4
45-4023,45-4023.00,Log Graders and Scalers,Associate's degree,1.96,07/2017,5
45-4023,45-4023.00,Log Graders and Scalers,Bachelor's degree,0.0,07/2017,6
47-1011,47-1011.03,Solar Energy Installation Managers,High school diploma or equivalent,52.86,08/2024,1
47-1011,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,Post-secondary certificate,27.04,08/2020,2
47-1011,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,Less than high school diploma,21.95,08/2020,3
47-1011,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,High school diploma or equivalent,20.79,08/2020,4
47-1011,47-1011.03,Solar Energy Installation Managers,Less than high school diploma,18.71,08/2024,5
47-1011,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,Associate's degree,11.88,08/2020,6
47-2011,47-2011.00,Boilermakers,Post-secondary certificate,32.08,08/2025,1
47-2011,47-2011.00,Boilermakers,"Some college, no degree",15.93,08/2025,2
47-2011,47-2011.00,Boilermakers,Less than high school diploma,0.0,08/2025,3
47-2011,47-2011.00,Boilermakers,Associate's degree,0.0,08/2025,4
47-2011,47-2011.00,Boilermakers,Bachelor's degree,0.0,08/2025,5
47-2011,47-2011.00,Boilermakers,Post-baccalaureate certificate,0.0,08/2025,6
47-2021,47-2021.00,Brickmasons and Blockmasons,High school diploma or equivalent,70.42,08/2018,1
47-2021,47-2021.00,Brickmasons and Blockmasons,Less than high school diploma,13.48,08/2018,2
47-2021,47-2021.00,Brickmasons and Blockmasons,"Some college, no degree",13.38,08/2018,3
47-2021,47-2021.00,Brickmasons and Blockmasons,Associate's degree,2.71,08/2018,4
47-2021,47-2021.00,Brickmasons and Blockmasons,Post-secondary certificate,0.0,08/2018,5
47-2021,47-2021.00,Brickmasons and Blockmasons,Bachelor's degree,0.0,08/2018,6
47-2031,47-2031.00,Carpenters,High school diploma or equivalent,52.4,08/2022,1
47-2031,47-2031.00,Carpenters,Post-secondary certificate,21.46,08/2022,2
47-2031,47-2031.00,Carpenters,Less than high school diploma,17.73,08/2022,3
47-2031,47-2031.00,Carpenters,"Some college, no degree",8.41,08/2022,4
47-2031,47-2031.00,Carpenters,Associate's degree,0.0,08/2022,5
47-2031,47-2031.00,Carpenters,Bachelor's degree,0.0,08/2022,6
47-2041,47-2041.00,Carpet Installers,High school diploma or equivalent,69.22,07/2011,1
47-2041,47-2041.00,Carpet Installers,Less than high school diploma,22.34,07/2011,2
47-2041,47-2041.00,Carpet Installers,"Some college, no degree",7.18,07/2011,3
47-2041,47-2041.00,Carpet Installers,Post-secondary certificate,1.26,07/2011,4
47-2041,47-2041.00,Carpet Installers,Associate's degree,0.0,07/2011,5
47-2041,47-2041.00,Carpet Installers,Bachelor's degree,0.0,07/2011,6
47-2042,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",High school diploma or equivalent,89.53,12/2005,1
47-2042,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Less than high school diploma,5.71,12/2005,2
47-2042,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Post-secondary certificate,4.4,12/2005,3
47-2042,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles","Some college, no degree",0.35,12/2005,4
47-2042,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Associate's degree,0.0,12/2005,5
47-2042,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Bachelor's degree,0.0,12/2005,6
47-2043,47-2043.00,Floor Sanders and Finishers,Less than high school diploma,46.62,08/2021,1
47-2043,47-2043.00,Floor Sanders and Finishers,High school diploma or equivalent,34.6,08/2021,2
47-2043,47-2043.00,Floor Sanders and Finishers,Post-secondary certificate,16.44,08/2021,3
47-2043,47-2043.00,Floor Sanders and Finishers,"Some college, no degree",2.34,08/2021,4
47-2043,47-2043.00,Floor Sanders and Finishers,Associate's degree,0.0,08/2021,5
47-2043,47-2043.00,Floor Sanders and Finishers,Bachelor's degree,0.0,08/2021,6
47-2044,47-2044.00,Tile and Stone Setters,High school diploma or equivalent,47.98,08/2023,1
47-2044,47-2044.00,Tile and Stone Setters,Less than high school diploma,36.88,08/2023,2
47-2044,47-2044.00,Tile and Stone Setters,"Some college, no degree",10.73,08/2023,3
47-2044,47-2044.00,Tile and Stone Setters,Post-secondary certificate,4.41,08/2023,4
47-2044,47-2044.00,Tile and Stone Setters,Associate's degree,0.0,08/2023,5
47-2044,47-2044.00,Tile and Stone Setters,Bachelor's degree,0.0,08/2023,6
47-2051,47-2051.00,Cement Masons and Concrete Finishers,Less than high school diploma,51.7,08/2018,1
47-2051,47-2051.00,Cement Masons and Concrete Finishers,High school diploma or equivalent,35.02,08/2018,2
47-2051,47-2051.00,Cement Masons and Concrete Finishers,Post-secondary certificate,12.65,08/2018,3
47-2051,47-2051.00,Cement Masons and Concrete Finishers,Associate's degree,0.62,08/2018,4
47-2051,47-2051.00,Cement Masons and Concrete Finishers,"Some college, no degree",0.0,08/2018,5
47-2051,47-2051.00,Cement Masons and Concrete Finishers,Bachelor's degree,0.0,08/2018,6
47-2053,47-2053.00,Terrazzo Workers and Finishers,High school diploma or equivalent,69.89,07/2015,1
47-2053,47-2053.00,Terrazzo Workers and Finishers,Less than high school diploma,14.2,07/2015,2
47-2053,47-2053.00,Terrazzo Workers and Finishers,Post-secondary certificate,9.56,07/2015,3
47-2053,47-2053.00,Terrazzo Workers and Finishers,"Some college, no degree",6.36,07/2015,4
47-2053,47-2053.00,Terrazzo Workers and Finishers,Associate's degree,0.0,07/2015,5
47-2053,47-2053.00,Terrazzo Workers and Finishers,Bachelor's degree,0.0,07/2015,6
47-2061,47-2061.00,Construction Laborers,High school diploma or equivalent,34.9,08/2020,1
47-2061,47-2061.00,Construction Laborers,Less than high school diploma,32.53,08/2020,2
47-2061,47-2061.00,Construction Laborers,Associate's degree,4.59,08/2020,3
47-2061,47-2061.00,Construction Laborers,"Some college, no degree",0.0,08/2020,4
47-2061,47-2061.00,Construction Laborers,Bachelor's degree,0.0,08/2020,5
47-2061,47-2061.00,Construction Laborers,Post-baccalaureate certificate,0.0,08/2020,6
47-2071,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",Less than high school diploma,40.99,08/2020,1
47-2071,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",High school diploma or equivalent,38.42,08/2020,2
47-2071,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",Post-secondary certificate,20.59,08/2020,3
47-2071,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators","Some college, no degree",0.0,08/2020,4
47-2071,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",Associate's degree,0.0,08/2020,5
47-2071,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",Bachelor's degree,0.0,08/2020,6
47-2072,47-2072.00,Pile Driver Operators,High school diploma or equivalent,52.59,08/2018,1
47-2072,47-2072.00,Pile Driver Operators,Post-secondary certificate,20.95,08/2018,2
47-2072,47-2072.00,Pile Driver Operators,Less than high school diploma,18.59,08/2018,3
47-2072,47-2072.00,Pile Driver Operators,"Some college, no degree",7.88,08/2018,4
47-2072,47-2072.00,Pile Driver Operators,Associate's degree,0.0,08/2018,5
47-2072,47-2072.00,Pile Driver Operators,Bachelor's degree,0.0,08/2018,6
47-2073,47-2073.00,Operating Engineers and Other Construction Equipment Operators,Less than high school diploma,1.39,08/2020,1
47-2073,47-2073.00,Operating Engineers and Other Construction Equipment Operators,Post-secondary certificate,0.55,08/2020,2
47-2073,47-2073.00,Operating Engineers and Other Construction Equipment Operators,Associate's degree,0.0,08/2020,3
47-2073,47-2073.00,Operating Engineers and Other Construction Equipment Operators,Bachelor's degree,0.0,08/2020,4
47-2073,47-2073.00,Operating Engineers and Other Construction Equipment Operators,Post-baccalaureate certificate,0.0,08/2020,5
47-2073,47-2073.00,Operating Engineers and Other Construction Equipment Operators,Master's degree,0.0,08/2020,6
47-2081,47-2081.00,Drywall and Ceiling Tile Installers,Less than high school diploma,41.87,07/2016,1
47-2081,47-2081.00,Drywall and Ceiling Tile Installers,High school diploma or equivalent,24.36,07/2016,2
47-2081,47-2081.00,Drywall and Ceiling Tile Installers,Post-secondary certificate,19.3,07/2016,3
47-2081,47-2081.00,Drywall and Ceiling Tile Installers,"Some college, no degree",9.65,07/2016,4
47-2081,47-2081.00,Drywall and Ceiling Tile Installers,Bachelor's degree,4.82,07/2016,5
47-2081,47-2081.00,Drywall and Ceiling Tile Installers,Associate's degree,0.0,07/2016,6
47-2082,47-2082.00,Tapers,High school diploma or equivalent,45.73,07/2015,1
47-2082,47-2082.00,Tapers,Less than high school diploma,28.99,07/2015,2
47-2082,47-2082.00,Tapers,Post-secondary certificate,25.28,07/2015,3
47-2082,47-2082.00,Tapers,"Some college, no degree",0.0,07/2015,4
47-2082,47-2082.00,Tapers,Associate's degree,0.0,07/2015,5
47-2082,47-2082.00,Tapers,Bachelor's degree,0.0,07/2015,6
47-2111,47-2111.00,Electricians,Post-secondary certificate,61.71,08/2022,1
47-2111,47-2111.00,Electricians,High school diploma or equivalent,30.58,08/2022,2
47-2111,47-2111.00,Electricians,Less than high school diploma,2.31,08/2022,3
47-2111,47-2111.00,Electricians,"Some college, no degree",2.31,08/2022,4
47-2111,47-2111.00,Electricians,Associate's degree,1.79,08/2022,5
47-2111,47-2111.00,Electricians,First professional degree,1.31,08/2022,6
47-2121,47-2121.00,Glaziers,High school diploma or equivalent,44.16,08/2023,1
47-2121,47-2121.00,Glaziers,Less than high school diploma,35.77,08/2023,2
47-2121,47-2121.00,Glaziers,Post-secondary certificate,12.0,08/2023,3
47-2121,47-2121.00,Glaziers,"Some college, no degree",8.08,08/2023,4
47-2121,47-2121.00,Glaziers,Associate's degree,0.0,08/2023,5
47-2121,47-2121.00,Glaziers,Bachelor's degree,0.0,08/2023,6
47-2131,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",High school diploma or equivalent,68.21,07/2015,1
47-2131,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",Less than high school diploma,29.37,07/2015,2
47-2131,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",Post-secondary certificate,2.42,07/2015,3
47-2131,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall","Some college, no degree",0.0,07/2015,4
47-2131,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",Associate's degree,0.0,07/2015,5
47-2131,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",Bachelor's degree,0.0,07/2015,6
