soc_code,onet_soc_code,occupation_title,education_level,respondent_share_percent,source_date,rank
15-1242,15-1242.00,Database Administrators,Bachelor's degree,88.98,08/2023,1
15-1242,15-1242.00,Database Administrators,Post-baccalaureate certificate,3.91,08/2023,2
15-1242,15-1242.00,Database Administrators,Associate's degree,3.46,08/2023,3
15-1242,15-1242.00,Database Administrators,"Some college, no degree",2.21,08/2023,4
15-1242,15-1242.00,Database Administrators,Master's degree,1.29,08/2023,5
15-1242,15-1242.00,Database Administrators,Post-secondary certificate,0.15,08/2023,6
15-1244,15-1244.00,Network and Computer Systems Administrators,Bachelor's degree,52.37,07/2017,1
15-1244,15-1244.00,Network and Computer Systems Administrators,Associate's degree,20.3,07/2017,2
15-1244,15-1244.00,Network and Computer Systems Administrators,Master's degree,10.13,07/2017,3
15-1244,15-1244.00,Network and Computer Systems Administrators,"Some college, no degree",9.72,07/2017,4
15-1244,15-1244.00,Network and Computer Systems Administrators,Post-secondary certificate,7.49,07/2017,5
15-1244,15-1244.00,Network and Computer Systems Administrators,Less than high school diploma,0.0,07/2017,6
15-1251,15-1251.00,Computer Programmers,Bachelor's degree,88.04,08/2018,1
15-1251,15-1251.00,Computer Programmers,Associate's degree,8.99,08/2018,2
15-1251,15-1251.00,Computer Programmers,"Some college, no degree",2.52,08/2018,3
15-1251,15-1251.00,Computer Programmers,Master's degree,0.45,08/2018,4
15-1251,15-1251.00,Computer Programmers,Less than high school diploma,0.0,08/2018,5
15-1251,15-1251.00,Computer Programmers,High school diploma or equivalent,0.0,08/2018,6
15-1252,15-1252.00,Software Developers,Bachelor's degree,84.8,08/2025,1
15-1252,15-1252.00,Software Developers,Associate's degree,5.07,08/2025,2
15-1252,15-1252.00,Software Developers,Master's degree,4.52,08/2025,3
15-1252,15-1252.00,Software Developers,High school diploma or equivalent,3.13,08/2025,4
15-1252,15-1252.00,Software Developers,Post-secondary certificate,1.67,08/2025,5
15-1252,15-1252.00,Software Developers,Post-baccalaureate certificate,0.81,08/2025,6
15-2099,15-2099.01,Bioinformatics Technicians,Bachelor's degree,50.89,07/2014,1
15-2099,15-2099.01,Bioinformatics Technicians,Master's degree,40.66,07/2014,2
15-2099,15-2099.01,Bioinformatics Technicians,Doctoral degree,4.11,07/2014,3
15-2099,15-2099.01,Bioinformatics Technicians,Post-baccalaureate certificate,2.45,07/2014,4
15-2099,15-2099.01,Bioinformatics Technicians,Post-doctoral training,1.89,07/2014,5
15-2099,15-2099.01,Bioinformatics Technicians,Less than high school diploma,0.0,07/2014,6
17-1021,17-1021.00,Cartographers and Photogrammetrists,Post-secondary certificate,35.73,08/2018,1
17-1021,17-1021.00,Cartographers and Photogrammetrists,Bachelor's degree,30.02,08/2018,2
17-1021,17-1021.00,Cartographers and Photogrammetrists,Associate's degree,11.15,08/2018,3
17-1021,17-1021.00,Cartographers and Photogrammetrists,Master's degree,10.99,08/2018,4
17-1021,17-1021.00,Cartographers and Photogrammetrists,"Some college, no degree",10.63,08/2018,5
17-1021,17-1021.00,Cartographers and Photogrammetrists,Post-baccalaureate certificate,1.48,08/2018,6
17-2011,17-2011.00,Aerospace Engineers,Bachelor's degree,59.05,07/2015,1
17-2011,17-2011.00,Aerospace Engineers,Master's degree,33.34,07/2015,2
17-2011,17-2011.00,Aerospace Engineers,Associate's degree,7.61,07/2015,3
17-2011,17-2011.00,Aerospace Engineers,Less than high school diploma,0.0,07/2015,4
17-2011,17-2011.00,Aerospace Engineers,High school diploma or equivalent,0.0,07/2015,5
17-2011,17-2011.00,Aerospace Engineers,Post-secondary certificate,0.0,07/2015,6
17-2071,17-2071.00,Electrical Engineers,Bachelor's degree,81.62,08/2023,1
17-2071,17-2071.00,Electrical Engineers,Associate's degree,11.04,08/2023,2
17-2071,17-2071.00,Electrical Engineers,Master's degree,7.34,08/2023,3
17-2071,17-2071.00,Electrical Engineers,Less than high school diploma,0.0,08/2023,4
17-2071,17-2071.00,Electrical Engineers,High school diploma or equivalent,0.0,08/2023,5
17-2071,17-2071.00,Electrical Engineers,Post-secondary certificate,0.0,08/2023,6
17-2072,17-2072.00,"Electronics Engineers, Except Computer",Bachelor's degree,83.3,08/2022,1
17-2072,17-2072.01,Radio Frequency Identification Device Specialists,Bachelor's degree,74.83,07/2015,2
17-2072,17-2072.00,"Electronics Engineers, Except Computer",Associate's degree,13.81,08/2022,3
17-2072,17-2072.01,Radio Frequency Identification Device Specialists,Associate's degree,10.14,07/2015,4
17-2072,17-2072.01,Radio Frequency Identification Device Specialists,Master's degree,7.66,07/2015,5
17-2072,17-2072.01,Radio Frequency Identification Device Specialists,High school diploma or equivalent,5.58,07/2015,6
17-2112,17-2112.00,Industrial Engineers,Bachelor's degree,58.62,08/2020,1
17-2112,17-2112.00,Industrial Engineers,"Some college, no degree",15.81,08/2020,2
17-2112,17-2112.00,Industrial Engineers,Master's degree,11.09,08/2020,3
17-2112,17-2112.00,Industrial Engineers,High school diploma or equivalent,7.54,08/2020,4
17-2112,17-2112.00,Industrial Engineers,Post-baccalaureate certificate,4.36,08/2020,5
17-2112,17-2112.00,Industrial Engineers,Associate's degree,2.58,08/2020,6
17-2141,17-2141.00,Mechanical Engineers,Bachelor's degree,52.29,08/2024,1
17-2141,17-2141.00,Mechanical Engineers,Associate's degree,28.63,08/2024,2
17-2141,17-2141.00,Mechanical Engineers,Post-secondary certificate,8.93,08/2024,3
